situation,emotion,source,pleasantness,unpleasantness,attention,effort,self_responsibility,other_responsibility,control,certainty,goal_relevance,urgency,self_control,other_control,responsibility,circumstance
I finished my last ALevel exam,pride,envent,2.0,4.0,5.0,5.0,5.0,1.0,,,5.0,5.0,4.0,1.0,,
I finished my Master's degree in the middle of covid lockdown,relief,envent,5.0,1.0,5.0,5.0,5.0,1.0,,,5.0,1.0,5.0,3.0,,
I finished my maths work minutes before a cutoff deadline,relief,envent,3.0,2.0,5.0,5.0,4.0,4.0,,,4.0,5.0,4.0,2.0,,
I finished my national exam for licensing as a registered physiotherapist,joy,envent,4.0,2.0,1.0,1.0,5.0,1.0,,,5.0,1.0,4.0,1.0,,
"I finished the end of my contracted work and was going to be out of work AND also not have any government support. But I was able to reapply for government support and when I got the email that it had been accepted, and that I also had a concession card again, it was .... I still need to find more work, but I won't be completely hopeless.",relief,envent,5.0,1.0,1.0,4.0,2.0,4.0,,,5.0,2.0,1.0,5.0,,
I finished university even though many other people were really happy or sad,no-emotion,envent,3.0,3.0,4.0,1.0,4.0,2.0,,,4.0,2.0,3.0,4.0,,
I finished work because I knew I could come home and put my feet up,joy,envent,5.0,1.0,3.0,4.0,4.0,3.0,,,1.0,4.0,3.0,2.0,,
I finished work yesterday.,relief,envent,5.0,1.0,2.0,1.0,3.0,4.0,,,2.0,1.0,3.0,4.0,,
I first found out about my birthday trip. My mom and step mom are taking me out of town and I'm very excided for it,joy,envent,5.0,1.0,4.0,4.0,1.0,4.0,,,5.0,5.0,5.0,5.0,,
I first met my boyfriend after nearly 3 years of a long distance relationship.,joy,envent,5.0,2.0,5.0,5.0,3.0,5.0,,,5.0,5.0,4.0,4.0,,
I first met my boyfriend in person after talking long distance.,joy,envent,5.0,1.0,4.0,3.0,3.0,3.0,,,4.0,3.0,5.0,4.0,,
I first overcame my fear of rides,pride,envent,3.0,4.0,5.0,5.0,3.0,5.0,,,2.0,5.0,4.0,2.0,,
I first set up the LGBT club in my school.,pride,envent,4.0,1.0,5.0,5.0,5.0,5.0,,,4.0,1.0,4.0,4.0,,
I first started learning how to drive,fear,envent,3.0,3.0,5.0,5.0,5.0,1.0,,,4.0,4.0,3.0,2.0,,
i first stood up on a surfboard because I had been trying for a year and thought it would never happen to me,joy,envent,5.0,1.0,5.0,5.0,5.0,3.0,,,5.0,3.0,4.0,1.0,,
I first went to baby massage when my daughter was 4 months old.,relief,envent,5.0,1.0,4.0,5.0,4.0,4.0,,,3.0,1.0,4.0,4.0,,
I fixed the heating element on my oven when it broke because my partner said he couldnt do it and we need to hire an electrician. I saved us a lot of money and felt accomplished for doing the task on my own.,pride,envent,4.0,1.0,5.0,3.0,1.0,1.0,,,1.0,5.0,4.0,1.0,,
I flew home for a few days for the first time in a long time and went to my favourite restaurant and finally had my favourite meal there again which I hadn't had in a very long time. it was just as good as I remembered,relief,envent,5.0,1.0,3.0,3.0,4.0,4.0,,,3.0,4.0,4.0,4.0,,
I flew on a plane last week because I was going to be on holiday,joy,envent,5.0,1.0,3.0,3.0,3.0,3.0,,,3.0,2.0,3.0,5.0,,
I fooled around with a work colleague/friend knowing he has a girlfriend.,guilt,envent,4.0,3.0,3.0,3.0,5.0,5.0,,,3.0,3.0,5.0,5.0,,
I forgot a friend's birthday,guilt,envent,1.0,4.0,2.0,2.0,5.0,1.0,,,5.0,5.0,5.0,1.0,,
I forgot it was halloween and sent my son to school without a costume.,guilt,envent,1.0,4.0,4.0,3.0,4.0,2.0,,,4.0,4.0,2.0,1.0,,
I forgot to feed my fish,shame,envent,1.0,5.0,5.0,2.0,5.0,1.0,,,4.0,5.0,5.0,1.0,,
I forgot to turn my homework in.,shame,envent,1.0,4.0,4.0,4.0,4.0,2.0,,,4.0,4.0,3.0,3.0,,
I forgot to water the flowers in our flat and was rebuked by my friends who share the flat with me.,disappointment,xenvent,1.0,,1.75,2.0,2.5,4.5,,3.0,1.5,1.5,3.5,3.5,,
"I form a meaningful connection with someone that shares my beliefs, listens to my thoughts and communicates with me in a respectful way",trust,envent,5.0,1.0,5.0,2.0,2.0,5.0,,,4.0,5.0,4.0,5.0,,
I found $100 on the footpath,surprise,envent,5.0,1.0,5.0,1.0,1.0,4.0,,,1.0,3.0,1.0,3.0,,
I found $20 on the ground while walking,surprise,envent,5.0,1.0,4.0,3.0,1.0,4.0,,,3.0,3.0,1.0,4.0,,
I found ... in my job when my boss had my back,trust,envent,5.0,1.0,4.0,3.0,2.0,5.0,,,5.0,2.0,1.0,5.0,,
I found ... when I was able to keep my job during a worldwide pandemic,relief,envent,1.0,2.0,4.0,5.0,1.0,1.0,,,4.0,1.0,1.0,5.0,,
I found a creative outlet for my ideas and was able to create something I enjoyed through it,pride,envent,4.0,2.0,2.0,2.0,3.0,2.0,,,5.0,2.0,2.0,2.0,,
I found a hair in my food while eating at a restaurant,disgust,envent,1.0,5.0,3.0,3.0,1.0,4.0,,,3.0,3.0,1.0,4.0,,
I found a mouse in the basement,surprise,envent,1.0,5.0,4.0,4.0,1.0,1.0,,,1.0,4.0,2.0,1.0,,
I found a place to live for the school year,relief,envent,2.0,2.0,4.0,4.0,3.0,4.0,,,4.0,4.0,3.0,4.0,,
I found a praying mantis.,joy,envent,5.0,1.0,4.0,1.0,1.0,1.0,,,2.0,4.0,3.0,2.0,,
I found a rotten banana in my new car,disgust,envent,1.0,4.0,1.0,2.0,1.0,5.0,,,1.0,3.0,2.0,1.0,,
I found about the due to a pin administrative issue I would have defer my Masters course,sadness,envent,1.0,5.0,5.0,5.0,1.0,4.0,,,4.0,4.0,2.0,2.0,,
I found mistakes in someone elses work and managed to fix it because it was causing my major problems and my boss saw how capable I am.,pride,envent,2.0,4.0,5.0,5.0,4.0,4.0,,,4.0,5.0,4.0,2.0,,
i found mouldy food in my daughters room,disgust,envent,1.0,4.0,4.0,2.0,1.0,5.0,,,1.0,5.0,4.0,4.0,,
I found mouldy food in my fridge,disgust,envent,1.0,5.0,2.0,1.0,4.0,1.0,,,1.0,5.0,5.0,1.0,,
I found my child,relief,envent,1.0,5.0,5.0,5.0,2.0,4.0,,,5.0,5.0,3.0,3.0,,
I found my manuscript that I had lost the day prior.,relief,envent,3.0,3.0,4.0,5.0,3.0,2.0,,,5.0,4.0,4.0,2.0,,
i found my missing pet,relief,envent,1.0,5.0,4.0,5.0,4.0,1.0,,,5.0,3.0,2.0,1.0,,
I found my phone after forgetting it at a store,relief,envent,4.0,2.0,4.0,4.0,4.0,2.0,,,3.0,4.0,2.0,2.0,,
I found out a puppy was available for adoption.,surprise,envent,5.0,1.0,5.0,4.0,2.0,1.0,,,5.0,5.0,2.0,3.0,,
I found out a schoolmate of mine was getting married.,surprise,envent,4.0,1.0,2.0,2.0,1.0,4.0,,,1.0,4.0,1.0,3.0,,
"I found out a work colleague had lost his battle with cancer, I guess I had already processed the loss which was coming",no-emotion,envent,1.0,4.0,1.0,2.0,1.0,1.0,,,3.0,1.0,1.0,1.0,,
i found out about a house sale,surprise,envent,5.0,1.0,1.0,1.0,1.0,5.0,,,1.0,4.0,1.0,5.0,,
"I found out about the amount of cheating going on in professional sports, such as cycling. This was mostly due to the fact that people look up to these athletes and they try to act like them, while the actions are likely impossible without taking harmful substances.",disgust,envent,1.0,5.0,4.0,1.0,1.0,5.0,,,1.0,4.0,1.0,5.0,,
I found out Arsenal had won yesterday,no-emotion,envent,1.0,1.0,1.0,3.0,1.0,3.0,,,1.0,1.0,1.0,4.0,,
"I found out both my grandparents were very ill and I realised that they probably never see me get married, which makes me really upset.",sadness,envent,1.0,5.0,3.0,4.0,1.0,1.0,,,5.0,2.0,1.0,4.0,,
I found out from my girlfriend that she was pregnant,surprise,envent,5.0,1.0,5.0,2.0,5.0,5.0,,,5.0,5.0,1.0,4.0,,
I found out i could go back to my old job,relief,envent,5.0,1.0,5.0,3.0,5.0,5.0,,,5.0,5.0,5.0,5.0,,
I found out I did not have cancer,relief,envent,5.0,1.0,4.0,5.0,3.0,4.0,,,5.0,2.0,3.0,4.0,,
I found out I did not have cancer (after never being told they were looking for cancer),relief,envent,2.0,3.0,5.0,2.0,1.0,5.0,,,2.0,5.0,1.0,5.0,,
I found out I did not have COVID last week,relief,envent,5.0,1.0,4.0,2.0,4.0,1.0,,,3.0,1.0,1.0,1.0,,
I found out I didn't love my credit card,relief,envent,2.0,4.0,5.0,5.0,5.0,2.0,,,5.0,5.0,1.0,3.0,,
I found out I got hired to work at a company that aligns well with my personal values.,pride,envent,5.0,1.0,4.0,2.0,4.0,2.0,,,4.0,3.0,3.0,4.0,,
I found out I had heart disease,surprise,envent,1.0,5.0,5.0,5.0,1.0,1.0,,,5.0,5.0,1.0,1.0,,
I found out I had legal help,relief,envent,4.0,1.0,4.0,2.0,2.0,4.0,,,4.0,4.0,2.0,4.0,,
I found out I had passed my exams,joy,envent,5.0,1.0,2.0,3.0,5.0,2.0,,,5.0,1.0,1.0,5.0,,
I found out I was accepted for a rental property,relief,envent,5.0,1.0,5.0,3.0,5.0,1.0,,,5.0,4.0,4.0,3.0,,
I found out I was expecting my first child,joy,envent,4.0,1.0,4.0,4.0,4.0,4.0,,,4.0,4.0,2.0,1.0,,
I found out I was getting a lot of money in scholarships,joy,envent,5.0,1.0,1.0,1.0,3.0,5.0,,,1.0,2.0,1.0,5.0,,
I found out I was preganant with my first child.,surprise,envent,5.0,1.0,5.0,5.0,5.0,4.0,,,5.0,3.0,1.0,1.0,,
i found out i was pregnant,joy,envent,5.0,1.0,5.0,3.0,5.0,5.0,,,5.0,1.0,4.0,4.0,,
I found out I was pregnant 1 month after suffering a miscarriage,surprise,envent,5.0,1.0,5.0,5.0,5.0,5.0,,,5.0,5.0,4.0,3.0,,
I found out I was pregnant after having ivf,surprise,envent,5.0,1.0,5.0,5.0,5.0,3.0,,,5.0,5.0,4.0,4.0,,
I found out I was pregnant because I thought it would never happen,joy,envent,3.0,3.0,4.0,4.0,5.0,5.0,,,4.0,5.0,3.0,4.0,,
I found out I was pregnant because our fertility doctor told us there was only a 15% chance.,surprise,envent,5.0,1.0,5.0,4.0,5.0,5.0,,,5.0,4.0,3.0,4.0,,
I found out I was pregnant with baby number 3,surprise,envent,4.0,2.0,4.0,4.0,5.0,5.0,,,5.0,3.0,4.0,1.0,,
I found out I was pregnant.,joy,envent,5.0,1.0,4.0,3.0,5.0,5.0,,,5.0,2.0,1.0,3.0,,
I found out I wasnt pregnant after missing my period for 4 months,relief,envent,5.0,1.0,5.0,5.0,4.0,5.0,,,5.0,5.0,1.0,1.0,,
I found out I won a contest for $100!,surprise,envent,5.0,1.0,4.0,1.0,2.0,2.0,,,2.0,3.0,1.0,4.0,,
"I found out my Aunt had passed away from covid at the beginning of the year. She spent chrstmas day with her daughter, son in law and their kids however caught covid over christmas dinner. Within a week she had gone from being completely healthy and fit to being rushed to hospital. We received a text message from the family one afternoon early January to say she had been admitted to hospital with covid, within 24 hours she had gone onto a ventilator and ... passed away.",sadness,envent,1.0,5.0,1.0,3.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,
I found out my aunt has cancer,sadness,envent,1.0,5.0,5.0,5.0,1.0,1.0,,,4.0,5.0,1.0,1.0,,
I found out my aunt has terminal cancer.,sadness,envent,1.0,5.0,4.0,3.0,1.0,2.0,,,3.0,2.0,1.0,1.0,,
I found out my best friend at Uni was from the same Village in Nigeria as me,surprise,envent,5.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
I found out my best friend was also dating a woman,surprise,envent,5.0,1.0,5.0,2.0,1.0,1.0,,,2.0,4.0,1.0,4.0,,
I found out my biological father had died,no-emotion,envent,1.0,1.0,3.0,1.0,1.0,1.0,,,3.0,1.0,1.0,4.0,,
"i found out my boyfriend was liking other girls provocative pictures on instagram, because i would never do that to him, i am only attracted to him and this made me feel ... and horrible, thinking of him scrolling and liking",disgust,envent,1.0,5.0,3.0,3.0,4.0,5.0,,,4.0,3.0,4.0,4.0,,
I found out my daughter was being picked on at school,anger,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,2.0,5.0,1.0,5.0,,
I found out my daughters father had stolen money from us and had been manipulating me,disgust,envent,1.0,5.0,5.0,5.0,5.0,5.0,,,5.0,5.0,3.0,5.0,,
"I found out my ex girlfriend had cheated on me with my (ex) best friend on our graduation night. I felt so ... with the both of them. Her for cheating on me in the first place, and him for lying straight to my face about it. I felt so ... with the way that they acted.",disgust,envent,1.0,5.0,5.0,2.0,1.0,5.0,,,3.0,5.0,2.0,5.0,,
I found out my ex partner had been unfaithful.,anger,envent,1.0,5.0,5.0,5.0,5.0,5.0,,,5.0,4.0,2.0,4.0,,
I found out my ex was cheating,anger,envent,1.0,5.0,3.0,5.0,1.0,5.0,,,5.0,3.0,2.0,4.0,,
I found out my exam results,surprise,envent,5.0,2.0,4.0,3.0,4.0,2.0,,,5.0,2.0,1.0,2.0,,
I found out my exam results from the end of my second year at university.,relief,envent,5.0,1.0,1.0,1.0,5.0,1.0,,,4.0,3.0,5.0,1.0,,
I found out my friend had committed suicide,sadness,envent,1.0,5.0,1.0,5.0,1.0,4.0,,,1.0,1.0,1.0,5.0,,
I found out my friend was engaged,surprise,envent,3.0,2.0,2.0,3.0,1.0,5.0,,,2.0,2.0,1.0,5.0,,
I found out my girlfriend was sleeping with a friend,disgust,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,4.0,5.0,2.0,4.0,,
I found out my grandpa passed away,sadness,envent,1.0,5.0,4.0,4.0,1.0,2.0,,,5.0,5.0,1.0,4.0,,
I found out my grandpa used to believe interracial marriage was a sin.,surprise,envent,1.0,5.0,4.0,3.0,2.0,4.0,,,3.0,2.0,2.0,3.0,,
I found out my husband was having an affair,anger,envent,1.0,5.0,5.0,5.0,2.0,5.0,,,5.0,5.0,3.0,5.0,,
I found out my mam didn't need a serious surgery,relief,envent,5.0,1.0,4.0,4.0,1.0,1.0,,,3.0,4.0,1.0,1.0,,
"I found out my mum had died. It was truly the worst moment of my life. I had comlete and utter disbelief and it shattered my life for a year. I cried until my face was red, I wandered the streets wanting to be killed. It was the worst ... I had ever felt.",sadness,envent,1.0,5.0,5.0,5.0,1.0,1.0,,,5.0,1.0,1.0,5.0,,
I found out my mum was terminally ill,sadness,envent,1.0,5.0,2.0,5.0,1.0,1.0,,,4.0,1.0,1.0,4.0,,
I found out my old friend was pregnant,surprise,envent,3.0,3.0,3.0,1.0,1.0,5.0,,,1.0,2.0,1.0,5.0,,
I found out my partner cheated,disgust,envent,1.0,5.0,5.0,5.0,2.0,4.0,,,3.0,5.0,1.0,5.0,,
I found out my partner had been texting other woman,disgust,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,5.0,5.0,1.0,5.0,,
I found out my X-ray came back clear,relief,envent,5.0,1.0,5.0,5.0,3.0,2.0,,,5.0,5.0,2.0,4.0,,
I found out of a family members affair,surprise,envent,1.0,5.0,5.0,4.0,1.0,5.0,,,3.0,4.0,1.0,4.0,,
"I found out on the telephone that my uncle had just passed away , i felt ... because he was a special person",sadness,envent,1.0,5.0,3.0,3.0,1.0,2.0,,,2.0,2.0,1.0,4.0,,
I found out s close relative had died through an online news article. The article hadn't even given the family time to tell extended family and a few family members all found out from the same article,sadness,envent,1.0,5.0,3.0,5.0,1.0,4.0,,,4.0,1.0,1.0,3.0,,
I found out that a store had kept my wallet safe after I thought I had lost it a few days earlier,relief,envent,1.0,5.0,4.0,5.0,4.0,1.0,,,5.0,4.0,2.0,4.0,,
"I found out that I did not have to do something in my planned trip which I did not personally like, but another friend was trying to convince the others to do.",relief,envent,4.0,1.0,2.0,1.0,5.0,3.0,,,1.0,2.0,4.0,4.0,,
"I found out that I gained a 2:1 in my degree - I didn't think I did very well in my final exams, so was ... when I found out my result.",relief,envent,5.0,1.0,5.0,2.0,5.0,1.0,,,4.0,4.0,1.0,1.0,,
I found out that i had already paid the landlord the rent due for the month as i was low on cash at the time,relief,envent,5.0,1.0,5.0,2.0,4.0,1.0,,,2.0,4.0,3.0,1.0,,
I found out that I had received an unexpected windfall due to an inheritance from a will belonging to a great aunt.,surprise,envent,5.0,1.0,2.0,1.0,1.0,3.0,,,3.0,1.0,1.0,3.0,,
"I found out that I was able to defer my place at university for another year, due to my mental health and physical health, so that I could work on bettering myself during the year.",relief,envent,3.0,2.0,4.0,2.0,3.0,3.0,,,5.0,3.0,3.0,3.0,,
I found out that I would be graduating from my university with the highest honors of summa cum laude,pride,envent,5.0,1.0,1.0,1.0,5.0,1.0,,,4.0,1.0,5.0,1.0,,
I found out that my brother was a rapist,disgust,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,5.0,5.0,3.0,5.0,,
I found out that my colleague was behaving unprofessionally.,anger,envent,1.0,5.0,4.0,5.0,1.0,5.0,,,4.0,5.0,2.0,5.0,,
I found out that my ex-wife was divorcing me.,sadness,envent,1.0,4.0,4.0,4.0,2.0,4.0,,,5.0,2.0,3.0,4.0,,
I found out that my grandma died,sadness,envent,1.0,5.0,3.0,4.0,1.0,3.0,,,4.0,4.0,1.0,2.0,,
I found out that my intellectually disabled client was critically ill and might die,sadness,envent,1.0,5.0,4.0,4.0,1.0,4.0,,,2.0,2.0,1.0,2.0,,
I found out that my partner had safely arrived in the UK after being long distance for many months.,joy,envent,4.0,1.0,1.0,4.0,1.0,1.0,,,4.0,1.0,1.0,4.0,,
I found out that my partner of 18.5 years had been sleeping with my next door neighbour,anger,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,1.0,5.0,1.0,5.0,,
i found out that my partner was pregnant.,fear,envent,3.0,3.0,5.0,4.0,5.0,5.0,,,5.0,1.0,1.0,3.0,,
I found out that two of my best friends started dating,surprise,envent,4.0,1.0,2.0,2.0,1.0,5.0,,,3.0,2.0,2.0,4.0,,
I found out that we really are going to be together forever.,joy,envent,5.0,1.0,3.0,1.0,1.0,1.0,,,3.0,1.0,1.0,1.0,,
I found out we could get funding for fertility treatment,surprise,envent,5.0,1.0,4.0,3.0,1.0,5.0,,,5.0,5.0,2.0,5.0,,
i found out we would be in level 4 lockdown,surprise,envent,1.0,4.0,3.0,4.0,2.0,4.0,,,4.0,2.0,2.0,4.0,,
I found out what Brady did,disgust,envent,1.0,5.0,4.0,4.0,4.0,3.0,,,3.0,2.0,4.0,3.0,,
I found over a hundred dollars in my pocket when I needed to pay rent and had thought I didn't have enough.,relief,envent,5.0,1.0,5.0,2.0,5.0,2.0,,,4.0,4.0,5.0,2.0,,
i found some money,surprise,envent,5.0,1.0,1.0,1.0,1.0,1.0,,,2.0,3.0,1.0,1.0,,
I found some rotten onions in my cupboard that were slimy and smelly and I had to clean it up,disgust,envent,1.0,5.0,3.0,3.0,4.0,2.0,,,2.0,4.0,4.0,1.0,,
"I found the perfect man for me, and the more time goes on, the more I realized he was the best person for me. Every day is a ....",surprise,envent,5.0,1.0,5.0,5.0,3.0,5.0,,,5.0,4.0,4.0,4.0,,
I found the pliers that I was looking for.,no-emotion,envent,4.0,2.0,5.0,4.0,5.0,1.0,,,3.0,1.0,5.0,1.0,,
"I gave a cat a fright on the street and it ran into the road, and was nearly killed by a passing car",guilt,envent,1.0,5.0,3.0,4.0,5.0,1.0,,,4.0,2.0,1.0,1.0,,
i gave a co-worker my credit card to get something refunded for me and they did it without doing anything else,trust,envent,2.0,4.0,5.0,3.0,5.0,1.0,,,3.0,3.0,2.0,4.0,,
I gave a good performance in a play.,joy,envent,5.0,1.0,5.0,5.0,5.0,5.0,,,1.0,3.0,3.0,1.0,,
"I gave a talk at an academic conference. Around half-way through, my e-notes malfunctioned and went away. I proceeded to step away and just give the talk without notes. It went incredibly well and gave me an intense feeling of ...",pride,envent,5.0,1.0,5.0,5.0,3.0,1.0,,,4.0,5.0,5.0,1.0,,
"I gave birth each time to my 3 kids, nothing compares to that feeling.",joy,envent,4.0,3.0,5.0,5.0,3.0,3.0,,,5.0,5.0,2.0,5.0,,
I gave birth to a baby boy,surprise,envent,4.0,1.0,4.0,3.0,1.0,4.0,,,4.0,5.0,2.0,5.0,,
I gave birth to a healthy son.,joy,envent,3.0,2.0,3.0,4.0,4.0,4.0,,,4.0,4.0,2.0,4.0,,
I gave birth to healthy twins,pride,envent,1.0,5.0,5.0,5.0,4.0,4.0,,,3.0,4.0,3.0,4.0,,
I gave birth to my 1st baby.,joy,envent,5.0,1.0,5.0,5.0,1.0,1.0,,,5.0,1.0,1.0,1.0,,
I gave birth to my baby. it was like a dream come true,joy,envent,5.0,1.0,4.0,2.0,4.0,3.0,,,1.0,4.0,5.0,2.0,,
I gave birth to my daughter,trust,envent,2.0,4.0,5.0,5.0,3.0,3.0,,,5.0,5.0,3.0,4.0,,
I gave birth to my daughter after a painful pregnancy,relief,envent,4.0,1.0,5.0,5.0,4.0,1.0,,,4.0,4.0,4.0,3.0,,
I gave birth to my daughter and she was perfectly healthy and beautiful.,pride,envent,4.0,2.0,5.0,5.0,5.0,5.0,,,5.0,5.0,4.0,4.0,,
I gave birth to my daughter.,trust,envent,3.0,3.0,4.0,5.0,5.0,5.0,,,5.0,5.0,3.0,4.0,,
i gave birth to my daughter. There were some health concerns whilst i was pregnant with her and i was anxious until she was actually born. the birth was quick so the pain was not so bad but i felt such ... she was born without a disability.,relief,envent,3.0,2.0,5.0,5.0,3.0,1.0,,,5.0,5.0,3.0,4.0,,
I gave birth to my first child,joy,envent,3.0,3.0,5.0,5.0,5.0,5.0,,,5.0,5.0,3.0,3.0,,
I gave birth to my son,trust,envent,5.0,1.0,5.0,5.0,4.0,5.0,,,5.0,4.0,4.0,5.0,,
"I gave birth to my son, and I heard him squeak because he came out not breathing, and had to be resuscitated by CPAP.",joy,envent,3.0,3.0,2.0,4.0,1.0,4.0,,,4.0,5.0,1.0,4.0,,
I gave birth to my son.,joy,envent,3.0,3.0,5.0,5.0,5.0,5.0,,,5.0,5.0,1.0,2.0,,
I gave my friends the opportunity to plan a party for me even though I hate surprises,trust,envent,4.0,2.0,3.0,1.0,1.0,5.0,,,2.0,1.0,3.0,4.0,,
I gave my son a bath last night and we had a lovely chat. He was so happy and chatty it made me smile and be grateful that I have this time with him. It made me ... and ....,joy,envent,5.0,1.0,3.0,3.0,2.0,3.0,,,2.0,1.0,4.0,4.0,,
"I gave my son some rubbish to put in the bin. I was able to ... him to do this by himself, he is 3 years old .",trust,envent,5.0,1.0,3.0,1.0,3.0,3.0,,,1.0,3.0,4.0,4.0,,
I gave my wallet to a friend,trust,envent,2.0,4.0,2.0,3.0,4.0,2.0,,,3.0,4.0,3.0,4.0,,
I gave myself the bigger portion of cake instead of my fiancé,guilt,envent,2.0,4.0,4.0,2.0,5.0,1.0,,,2.0,4.0,5.0,1.0,,
I get an A in a class.,pride,envent,5.0,1.0,5.0,3.0,5.0,1.0,,,5.0,1.0,5.0,1.0,,
"I get extremely ... at work. If fact that is the reason I signed up for prolific in the first place. I work in an office job and there isn't much work to do in the middle of the week. I try and cure the ... by doing surveys, or just chatting with my co-workers, or friends on my phone.",boredom,envent,2.0,4.0,2.0,1.0,1.0,2.0,,,3.0,1.0,3.0,1.0,,
I get home and dont have to be social,relief,envent,4.0,1.0,3.0,1.0,3.0,1.0,,,1.0,1.0,3.0,1.0,,
"I get quite anxious and ... when I think about my family, because we do not often speak",sadness,envent,1.0,5.0,1.0,2.0,5.0,5.0,,,5.0,4.0,5.0,1.0,,
I go hiking and reach the summit.,no-emotion,envent,3.0,3.0,5.0,5.0,5.0,4.0,,,4.0,4.0,5.0,5.0,,
"i go to my parents house, because all they do is watch television",boredom,envent,2.0,3.0,1.0,1.0,2.0,4.0,,,1.0,1.0,3.0,3.0,,
I go to weddings.,no-emotion,envent,3.0,3.0,3.0,3.0,1.0,5.0,,,1.0,3.0,1.0,5.0,,
i got a ... when i open the door and my mum was standing there as i not seen her for 14 years as she walked out of my life to be with another man and i was ... she would ever get in touch with me again,surprise,envent,3.0,5.0,3.0,5.0,1.0,5.0,,,4.0,4.0,3.0,4.0,,
I got a 2:2 on one of my essays,shame,envent,1.0,5.0,4.0,5.0,4.0,4.0,,,5.0,4.0,4.0,4.0,,
I got a bad grade on my ODE exam.,surprise,envent,1.0,5.0,4.0,5.0,5.0,1.0,,,4.0,1.0,5.0,1.0,,
I got a bad mark on a test i worked hard on.,anger,envent,1.0,5.0,1.0,1.0,4.0,1.0,,,2.0,3.0,3.0,1.0,,
"I got a bad mark on my exam, this was not because I was not upset at myself but it was because I expected it to the point I predicted I would get this mark in the end.",no-emotion,envent,3.0,3.0,1.0,3.0,5.0,2.0,,,4.0,1.0,5.0,1.0,,
I got a complimentary review of my work,pride,envent,5.0,1.0,1.0,1.0,3.0,4.0,,,4.0,1.0,1.0,5.0,,
I got a dog for my birthday,surprise,envent,5.0,1.0,1.0,1.0,1.0,1.0,,,3.0,3.0,1.0,4.0,,
"I got a flat tyre on my car 5 days before my paycheck was coming in, and I couldn't afford to pay for new tyres and to be able to eat for the following week.",fear,envent,1.0,5.0,4.0,5.0,2.0,1.0,,,4.0,4.0,3.0,1.0,,
I got a girlfriend,joy,envent,5.0,1.0,5.0,2.0,3.0,3.0,,,3.0,2.0,4.0,4.0,,
i got a good mark back,no-emotion,envent,1.0,1.0,1.0,1.0,5.0,1.0,,,4.0,1.0,1.0,1.0,,
I got a grade B on my science GCSE,surprise,envent,5.0,1.0,5.0,4.0,5.0,1.0,,,5.0,1.0,5.0,1.0,,
I got a great too good to go bag,surprise,envent,5.0,1.0,4.0,2.0,1.0,5.0,,,3.0,2.0,1.0,4.0,,
I got a high grade in a test which I thought I would have failed as I hadn't revised,surprise,envent,5.0,1.0,2.0,2.0,4.0,2.0,,,2.0,2.0,3.0,2.0,,
I got a job after months of searching.,relief,envent,4.0,1.0,5.0,4.0,4.0,4.0,,,5.0,4.0,3.0,4.0,,
I got a job because I'm autistic,pride,envent,5.0,2.0,3.0,4.0,3.0,3.0,,,3.0,4.0,3.0,4.0,,
I got a job I applied for,relief,envent,3.0,4.0,5.0,2.0,4.0,1.0,,,5.0,3.0,4.0,5.0,,
I got a job I had been trying to get for a long time.,joy,envent,5.0,1.0,4.0,4.0,5.0,3.0,,,5.0,4.0,4.0,3.0,,
I got a job I really wanted.,joy,envent,3.0,3.0,5.0,4.0,4.0,4.0,,,5.0,4.0,2.0,4.0,,
"I got a job offer from a law firm for a position in accounts payable with a salary of $54,000 per year. I had left my last job several months ago and that job paid just over $40,000 per year. I was looking to make at least that much at a new job, but preferably (and realistically) somewhere in the $43,000 - $46,000 range. When I got the call from my recruiter, who I was working, telling me that the company wanted to hire me and offered me a salary of $54,000 per year, I was extremely ....",surprise,envent,5.0,1.0,3.0,1.0,4.0,2.0,,,4.0,4.0,3.0,2.0,,
i got a laptop for christmas,surprise,envent,5.0,1.0,1.0,1.0,1.0,5.0,,,4.0,4.0,1.0,4.0,,
I got a low score on my biology quiz.,anger,envent,1.0,5.0,5.0,1.0,4.0,1.0,,,4.0,1.0,3.0,1.0,,
I got a message from my colleague about my increment in wages which wasn't expecting due to COVID-19 issues.,surprise,envent,5.0,1.0,2.0,3.0,1.0,2.0,,,1.0,4.0,3.0,3.0,,
I got a negative test for a disease that I thought I might have.,relief,envent,1.0,4.0,4.0,5.0,1.0,5.0,,,5.0,4.0,1.0,1.0,,
I got a new job,surprise,envent,5.0,1.0,5.0,5.0,5.0,1.0,,,5.0,5.0,5.0,5.0,,
I got a new job at a higher level and pay than previously.,pride,envent,5.0,1.0,5.0,1.0,5.0,2.0,,,5.0,5.0,4.0,3.0,,
I got a new job that I had really wanted but doubted I would be offered.,surprise,envent,5.0,1.0,5.0,5.0,5.0,1.0,,,5.0,4.0,4.0,4.0,,
I got a new job that took many interviews and skill.,pride,envent,4.0,1.0,3.0,4.0,4.0,2.0,,,4.0,3.0,2.0,2.0,,
